minute,s1_final_BVP,s2_final_BVP,s3_final_BVP,s4_final_BVP,s5_final_BVP,s6_final_BVP,s7_final_BVP,s8_final_BVP,s9_final_BVP,s10_final_BVP,test_progress,avg_BVP
110,0.03750520833333335,35.95,113.37999999999998,-9.75,83.91,84.54,-1.54,-1.38,-64.47,3.32,0.6111111111111112,24.39975052083333
111,0.04472395833333336,59.16,47.68,11.67,1.53,28.32,-5.37,6.88,-23.19,30.94,0.6166666666666667,15.766472395833333
112,-0.07671614583333328,40.93,120.2,-4.24,43.57,90.59,-11.66,-0.68,-15.16,-13.33,0.6222222222222222,25.014328385416658
113,0.0006874999999999953,34.97,12.359999999999998,-30.62,2.51,-8.68,88.14,215.16,45.12,-33.66,0.6277777777777778,32.53006875
114,0.029804687500000017,35.4,-37.97,-25.7,15.32,-11.609999999999998,23.15,-89.59,48.88,-455.99,0.6333333333333333,-49.80801953125
115,0.03799218749999999,233.48,7.94,-72.99,29.77,-108.62000000000002,81.4,-10.47,20.98,-12.06,0.6388888888888888,16.946799218749998
116,-0.18049999999999997,41.73,-238.56,-2.24,29.34,2.87,-11.15,-35.57,-33.95,-18.37,0.6444444444444445,-26.608050000000002
117,0.1355364583333333,-16.16,8.15,14.96,10.08,-54.51,-12.68,-108.81,14.02,17.64,0.65,-12.717446354166665
118,0.009591145833333344,113.32,9.07,5.95,5.99,-3.29,-59.3,-216.17,28.469999999999995,-18.52,0.6555555555555556,-13.447040885416664
119,-0.025723958333333338,-32.31,39.93,-3.58,-348.33,-20.1,-4.13,-4.05,35.13,10.49,0.6611111111111111,-32.69757239583333
120,0.012122395833333325,-25.65,-29.92,-69.44,-902.82,10.45,-47.12,-1.01,-72.31,-53.29,0.6666666666666666,-119.10978776041665
121,-0.04247395833333332,-5.04,-24.19,67.66,-67.94,7.15,-10.62,-252.37,44.88,-211.68,0.6722222222222223,-45.219247395833335
122,-0.008002604166666727,-7.14,-12.51,1.53,-15.2,6.24,10.890000000000002,89.79,38.76,100.76,0.6777777777777778,21.311199739583333
123,-0.2280442708333333,-74.37000000000002,-277.4800000000001,208.75,8.22,7.37,-41.55,-107.08,3.48,-15.76,0.6833333333333333,-28.864804427083335
124,0.25078645833333335,-115.77,201.14,-8.25,-33.61,-30.05,-28.96,161.97,-16.8,-43.01,0.6888888888888889,8.691078645833333
125,0.010460937500000007,24.17,133.21,-14.12,118.31,-6.63,-4.33,-42.46,-44.06000000000001,-13.26,0.6944444444444444,15.084046093749999
126,-0.0025104166666666886,-108.5,32.9,11.890000000000002,2.22,0.05999999999999999,-17.48,-147.74000000000004,2.52,-104.26,0.7,-32.83925104166667
