minute,s1_final_HR,s2_final_HR,s3_final_HR,s4_final_HR,s5_final_HR,s6_final_HR,s7_final_HR,s8_final_HR,s9_final_HR,s10_final_HR,test_progress,avg_HR
68,105.61416666666668,106.78,76.23,72.67,79.35,64.68,92.22,90.95,80.95,81.45,0.37777777777777777,85.08941666666668
69,106.86,110.23,74.43,70.87999999999998,77.7,76.78,107.62999999999998,121.85,81.83,90.45,0.38333333333333336,91.864
70,106.93866666666666,122.12999999999998,98.08,68.98,95.52,75.4,82.25,121.42,84.25,79.17,0.3888888888888889,93.41386666666666
71,97.13449999999999,110.17,83.37999999999998,75.1,106.75,73.57,78.75,77.8,83.42,97.67,0.39444444444444443,88.37444999999998
72,94.99983333333333,108.03,79.73,75.68,99.12000000000002,83.93,71.92,70.37000000000002,82.92,102.35,0.4,86.90498333333332
73,102.25133333333333,107.25,67.28,83.3,100.98,71.0,89.55,65.63,83.32,88.33,0.40555555555555556,85.88913333333333
74,106.04316666666666,110.0,87.67,79.72,102.23,80.37000000000002,89.57,74.28,79.83,90.03,0.4111111111111111,89.97431666666668
75,105.6105,115.43,100.2,71.23,114.5,72.5,92.4,79.43,78.87000000000002,78.6,0.4166666666666667,90.87705000000001
76,87.0505,113.15,86.5,80.35,101.07,70.23,63.48,75.68,81.37000000000002,83.48,0.4222222222222222,84.23605
77,75.099,117.37000000000002,70.37999999999998,82.92,108.33,68.3,78.25,75.87000000000002,78.08,66.27,0.42777777777777776,82.0869
78,73.78366666666668,120.23,76.67,74.55,99.97,70.98,88.12999999999998,62.4,78.12999999999998,81.4,0.43333333333333335,82.62436666666666
79,85.00783333333334,114.77,92.12999999999998,67.77,89.45,69.9,145.6,63.58,80.33,70.67,0.4388888888888889,87.92078333333333
80,100.96633333333334,117.7,102.22,73.68,94.12000000000002,67.58,112.87000000000002,96.12999999999998,80.42,80.8,0.4444444444444444,92.64863333333332
81,106.36733333333333,111.73,87.77,82.2,101.78,74.5,101.58,101.12000000000002,80.15,76.65,0.45,92.38473333333333
82,92.88716666666667,110.23,90.62999999999998,73.15,93.17,81.28,112.77,90.47,77.28,86.57,0.45555555555555555,90.84371666666667
83,92.30316666666667,110.75,89.4,71.98,106.4,80.37000000000002,127.9,83.57,78.03,96.73,0.46111111111111114,93.74331666666667
84,103.22983333333333,115.12000000000002,87.7,75.37000000000002,102.1,68.58,117.87999999999998,73.98,77.9,96.08,0.4666666666666667,91.79398333333334
85,107.90183333333333,117.98,87.58,91.77,102.08,72.37999999999998,108.82,82.5,77.0,68.02,0.4722222222222222,91.60318333333332
86,120.26366666666667,116.42,74.98,67.93,106.73,71.42,106.02,83.17,78.15,81.65,0.4777777777777778,90.67336666666667
87,103.66350000000001,115.65,65.82,70.37000000000002,91.68,70.25,77.08,101.53,90.2,74.82,0.48333333333333334,86.10635000000002
88,104.52366666666667,113.62999999999998,68.67,73.48,103.15,74.2,76.62000000000002,81.02,80.68,94.18,0.4888888888888889,87.01536666666668
89,100.67,110.53,72.52,73.92,68.52,78.1,75.52,85.08,73.48,72.73,0.49444444444444446,81.107
90,108.97566666666667,83.95,76.78,81.32,71.45,76.45,74.37999999999998,101.9,78.32,81.12000000000002,0.5,83.46456666666667
91,91.18883333333333,110.17,81.05,107.72,67.85,88.85,85.93,90.77,78.82,97.52,0.5055555555555555,89.98688333333332
92,92.11550000000001,109.08,70.95,91.15,67.23,70.37000000000002,75.2,80.77,75.25,101.3,0.5111111111111111,83.34155000000001
93,109.00116666666666,111.62999999999998,79.27,98.62000000000002,85.98,72.65,69.32,103.65,78.03,79.6,0.5166666666666667,88.77511666666666
94,104.38433333333334,114.77,85.62000000000002,88.37999999999998,79.95,62.63,73.73,92.57,74.62000000000002,80.03,0.5222222222222223,85.66843333333333
95,100.94683333333334,117.57,88.97,73.07,82.87000000000002,65.07,74.8,90.2,78.07,88.37000000000002,0.5277777777777778,85.99368333333334
